SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
5,5,6,44,1,1,6,1,3,4,4,-1,8,8,1,4,1,1,1,7,3,4,8
6,6,6,43,1,2,2,2,1,2,2,1,2,3,3,2,1,1,2,6,3,2,3
4,3,4,42,1,2,4,2,3,3,3,0,2,3,3,3,2,1,3,6,3,4,9
6,6,6,42,-1,-1,-1,-1,-1,2,-1,-1,99,3,3,2,1,1,1,8,3,3,7
4,4,4,42,2,3,98,2,2,2,2,1,2,2,4,2,3,1,5,7,1,2,4
5,7,5,57,1,2,5,1,2,4,4,1,2,2,4,4,1,1,2,7,1,2,3
5,4,7,54,1,2,4,1,2,5,4,0,4,3,3,4,4,2,5,7,1,2,4
2,2,2,35,3,3,1,1,1,2,2,1,7,2,4,1,1,2,3,4,4,2,4
7,7,7,58,1,3,5,1,1,2,2,0,4,3,3,1,3,2,4,7,1,3,7
4,5,4,42,1,2,7,1,3,2,2,-1,2,4,3,2,1,1,3,8,1,1,2
7,7,7,66,2,2,6,2,3,5,3,1,5,1,4,3,1,1,5,6,1,4,8
5,7,7,57,1,2,7,2,1,4,5,1,8,6,2,4,1,2,2,8,1,4,8
5,6,7,49,3,3,4,2,2,3,3,1,5,1,4,3,1,2,4,3,4,3,7
1,1,1,30,3,3,1,2,1,5,5,1,3,2,4,4,1,1,3,9,4,4,9
5,7,7,71,1,2,7,1,3,4,5,0,2,2,4,5,1,1,3,9,1,3,5
7,6,7,48,2,2,5,2,2,1,1,0,2,2,4,1,4,1,5,2,5,3,5
3,5,4,32,3,4,2,1,1,2,2,1,7,1,4,2,1,1,5,1,4,4,9
5,5,5,40,2,2,3,2,2,3,3,1,2,1,4,3,1,2,2,3,1,3,7
7,6,7,50,1,2,7,1,3,5,5,0,8,7,1,5,1,1,2,9,1,1,1
7,7,7,79,1,1,99,1,3,3,3,1,8,6,2,2,2,2,1,2,3,3,5
3,2,2,38,1,2,5,2,3,3,3,0,2,3,3,3,1,2,2,8,1,4,8
4,4,4,41,1,3,6,2,3,4,4,0,2,4,3,4,3,1,5,6,1,4,9
5,5,5,54,1,2,6,2,2,3,5,-1,8,6,2,5,3,1,1,8,5,4,9
5,3,4,49,2,2,3,2,2,5,4,1,2,2,4,3,1,2,2,4,5,1,2
7,7,7,75,2,1,99,1,3,3,3,0,6,3,3,3,2,2,1,8,4,2,4
7,7,7,68,2,2,6,2,3,1,4,1,1,8,1,4,4,1,5,7,1,3,7
7,6,6,51,1,4,7,1,3,5,2,1,8,8,1,2,1,1,1,8,1,3,6
5,6,6,50,2,2,6,2,2,3,3,1,2,4,2,3,2,1,2,7,1,2,3
5,5,4,61,1,2,5,2,2,5,2,1,2,5,2,2,1,2,2,6,1,4,9
6,5,5,48,1,2,6,2,2,2,2,1,4,8,1,2,1,2,2,6,1,2,3
4,3,3,31,3,3,99,1,2,2,2,1,7,3,3,2,1,1,2,1,4,1,2
4,3,4,35,1,2,1,1,2,2,2,0,1,3,3,2,1,1,4,2,1,3,5
5,7,7,42,2,2,4,2,2,2,5,1,2,2,4,3,1,1,2,7,5,3,5
4,3,7,37,2,1,1,1,3,2,2,0,3,2,4,2,2,2,4,3,4,2,3
5,7,6,51,2,3,4,3,2,1,3,1,5,1,4,3,4,1,5,1,4,4,9
6,6,6,28,2,2,98,2,2,5,5,1,2,2,4,5,1,2,2,8,5,3,5
4,4,7,50,1,5,1,1,3,2,4,0,1,3,3,2,1,1,3,6,3,2,3
6,7,7,43,1,2,2,2,3,2,3,1,2,5,2,3,2,1,2,2,1,3,5
6,6,5,57,1,2,7,2,2,5,4,1,8,6,2,3,1,1,2,9,1,4,9
7,7,7,76,1,2,5,2,3,4,5,0,2,4,3,5,1,1,5,8,1,3,5
7,7,4,61,1,2,6,1,2,2,5,-1,8,6,2,3,1,2,2,9,1,4,9
7,7,-1,70,1,4,7,2,1,3,5,0,1,1,4,5,1,2,2,3,4,3,5
5,5,6,60,1,2,7,1,2,2,4,0,8,6,2,3,3,2,2,7,3,3,6
5,5,5,39,3,3,5,3,1,3,4,0,2,2,4,4,1,2,4,3,4,3,5
4,4,7,61,1,2,4,1,3,4,4,0,6,4,3,4,1,1,2,5,1,1,2
4,5,5,40,3,3,99,3,1,3,3,1,2,2,4,2,1,1,3,4,4,2,3
5,4,5,60,1,1,4,1,3,3,3,1,1,6,2,3,1,1,1,2,3,4,8
6,6,7,55,1,2,99,1,-1,5,5,1,8,8,1,5,1,1,2,8,1,2,3
6,-1,-1,43,1,2,99,2,1,2,3,1,8,6,2,2,1,2,2,4,1,4,9
5,6,6,43,1,2,4,2,3,3,3,1,2,4,2,3,1,2,3,6,1,4,8
4,5,6,27,2,1,2,1,3,4,4,1,2,2,4,4,4,1,5,3,3,4,9
6,6,5,64,1,2,6,2,2,2,4,1,2,5,2,2,1,1,2,8,3,2,4
4,7,7,49,1,3,5,3,2,3,3,1,2,2,4,3,4,1,3,6,4,2,3
5,5,4,55,2,2,3,3,3,5,5,0,2,4,2,5,4,2,5,9,1,4,9
5,6,5,41,1,2,99,2,1,4,5,0,8,6,2,3,4,2,2,3,1,1,1
6,6,6,53,1,1,5,1,3,2,5,1,8,7,2,5,1,2,1,5,4,2,3
7,6,6,56,2,2,7,1,2,4,5,0,2,3,3,5,1,1,5,7,1,4,8
7,7,6,64,1,2,5,2,3,5,3,0,2,5,2,5,1,1,2,9,1,1,2
5,5,4,58,1,2,5,2,3,1,4,0,1,4,3,4,3,2,3,9,1,3,7
6,4,4,45,2,2,4,2,2,2,2,0,2,2,4,2,1,2,4,7,5,2,3
7,5,6,53,1,2,6,1,1,3,3,1,8,6,2,3,1,1,2,7,1,3,6
7,6,6,55,1,2,7,3,3,5,5,0,3,6,2,5,1,1,5,9,1,1,2
6,6,5,55,1,4,99,2,2,5,5,1,8,6,2,5,1,2,3,7,1,3,5
5,6,7,56,1,1,6,1,3,4,4,1,2,3,3,4,1,1,1,6,4,1,1
7,7,7,61,1,2,7,2,3,5,5,0,2,3,3,5,1,1,4,8,1,1,2
7,3,6,51,1,2,4,2,2,3,3,0,2,4,2,3,1,2,3,9,1,1,2
6,4,4,49,1,2,7,2,2,2,5,1,8,8,1,5,1,2,2,6,1,2,4
